"","price"
"1",327715.828
"2",1658930.263
"3",604291.779
"4",435079.902
"5",425435.867
"6",538655.737
"7",640277.788
"8",464640.858
"9",371719.106
"10",430636.079
"11",480924.963
"12",308662.437
"13",557700.825
"14",788412.526
"15",677011.265
"16",531268.856
"17",589548.707
"18",527311.114
"19",815234.838
"20",691569.672
"21",325549.973
"22",306248.461
"23",285988.745
"24",436161.083
"25",484113.942
"26",868587.292
"27",432842.122
"28",492285.785
"29",856879.415
"30",481939.169
"31",577340.426
"32",609568.585
"33",499731.749
"34",470978.226
"35",337460.125
"36",262427.771
"37",677337.757
"38",745319.578
"39",250229.293
"40",537212.526
"41",855689.53
"42",533470.569
"43",1020808.896
"44",1008819.886
"45",810027.938
"46",652151.349
"47",435893.01
"48",1251761.119
"49",647382.839
"50",384976.711
"51",383236.87
"52",543545.91
"53",803535.597
"54",1229249.164
"55",530006.401
"56",303123.205
"57",352990.844
"58",838314.969
"59",543657.259
"60",829731.266
"61",591566.187
"62",445744.702
"63",308226.474
"64",575928.461
"65",317276.619
"66",451286.664
"67",271775.318
"68",455213.728
"69",510769.957
"70",736186.705
"71",379192.271
"72",480052.374
"73",1047442.558
"74",497699.044
"75",362185.968
"76",264337.463
"77",523421.849
"78",467037.014
"79",338272.818
"80",546089.497
"81",265153.217
"82",626511.084
"83",306683.474
"84",425757.484
"85",288359.508
"86",757429.432
"87",338665.088
"88",502863.848
"89",296323.714
"90",399818.537
"91",374611.925
"92",488182.574
"93",364479.307
"94",586672.997
"95",274030.664
"96",484503.182
"97",825856.557
"98",195500.457
"99",348528.484
"100",535783.734
"101",462354.88
"102",756138.932
"103",939173.5
"104",1529178.578
"105",695529.328
"106",773025.457
"107",773719.768
"108",368656.328
"109",179628.337
"110",535777.519
"111",1081755.784
"112",419946.508
"113",492513.411
"114",258271.9
"115",548367.815
"116",1575986.831
"117",370403.973
"118",704212.618
"119",1100527.65
"120",880518.967
"121",761200.501
"122",493552.515
"123",290898.819
"124",450034.147
"125",300157.232
"126",240142.378
"127",295379.487
"128",673724.786
"129",759784.234
"130",684041.518
"131",292731.613
"132",231708.941
"133",308692.855
"134",393713.234
"135",520042.029
"136",620329.241
"137",212600.316
"138",560246.23
"139",566761.52
"140",536708.878
"141",474810.239
"142",452337.852
"143",828240.377
"144",916673.068
"145",527365.728
"146",831052.302
"147",302338.439
"148",566711.023
"149",570799.053
"150",438178.774
"151",452168.377
"152",301956.454
"153",385485.06
"154",265743.26
"155",178349.253
"156",748292.977
"157",498684.982
"158",260761.416
"159",539253.325
"160",748197.063
"161",469251.664
"162",295796.32
"163",739658.292
"164",269071.845
"165",330141.988
"166",1804556.421
"167",513044.896
"168",467378.346
"169",313016.871
"170",570648.49
"171",540264.283
"172",466128.038
"173",533766.66
"174",1083078.556
"175",559907.005
"176",314192.227
"177",177241.307
"178",722204.619
"179",345001.824
"180",461422.751
"181",411226.943
"182",643843.967
"183",281392.899
"184",838452.606
"185",401266.7
"186",327181.331
"187",413384.249
"188",299425.267
"189",423131.358
"190",727379.691
"191",333327.946
"192",504047.742
"193",592225.962
"194",550204.896
"195",1135654.839
"196",646042.301
"197",423624.988
"198",230481.635
"199",848261.484
"200",473270.356
