"","x"
"1",454600.746610418
"2",1255733.61047355
"3",676572.584008089
"4",486933.655756959
"5",293013.390631144
"6",537341.762620595
"7",544001.822285075
"8",424609.45051459
"9",507230.324594687
"10",330152.347165154
"11",523865.73165487
"12",480676.433190121
"13",598617.4161271
"14",799052.58415335
"15",656864.403307675
"16",734797.278682766
"17",554894.533878603
"18",576037.678021199
"19",923968.221775645
"20",709566.690057597
"21",394573.201574478
"22",387083.658992802
"23",144295.18091908
"24",686410.228697915
"25",690315.390203321
"26",784599.014735818
"27",339830.432824932
"28",722209.76776853
"29",951567.691417429
"30",577225.062533352
"31",467604.679790552
"32",813646.794739481
"33",603933.943641759
"34",388826.77261463
"35",399569.923419647
"36",30620.1493620199
"37",687678.256791257
"38",719746.274537276
"39",90064.5820780413
"40",526229.57860247
"41",951914.21629898
"42",610112.813346176
"43",1023082.54479637
"44",920879.681618707
"45",746984.355299084
"46",718040.976557039
"47",526933.452646538
"48",1034055.48797624
"49",558079.96081364
"50",557977.994138505
"51",626896.318029883
"52",363773.355269746
"53",741101.537970381
"54",1068217.4989506
"55",495155.647373763
"56",296056.431299532
"57",400095.229214801
"58",779093.750672972
"59",438810.541825348
"60",874370.758599922
"61",628314.076222103
"62",587195.068758596
"63",278217.652363937
"64",541880.808487895
"65",301887.387954081
"66",524469.69684118
"67",204972.196620694
"68",210100.89509749
"69",502867.622156581
"70",846450.54652887
"71",421428.588629451
"72",539599.686296255
"73",1163566.36166419
"74",691207.949162357
"75",258468.832899311
"76",242904.566638121
"77",652759.90742584
"78",460119.713445949
"79",214840.217896751
"80",585891.347370835
"81",269884.578041395
"82",714965.467333457
"83",477248.294433997
"84",388658.480029544
"85",271087.829724189
"86",836700.659125009
"87",338934.728026859
"88",601247.774531598
"89",338044.77568715
"90",617735.40952024
"91",559618.110813711
"92",645742.149148884
"93",512154.331999587
"94",693435.048531692
"95",379667.917322808
"96",436408.03063503
"97",797150.918401409
"98",66324.1583742695
"99",319226.960211063
"100",494380.570328681
"101",645771.909916568
"102",703263.494238056
"103",949818.500933253
"104",1168470.2017535
"105",629132.963702383
"106",760149.35218571
"107",933169.140498219
"108",465456.895200391
"109",-63727.7739341369
"110",592603.845166769
"111",1014960.32248097
"112",413883.909366272
"113",332120.622444708
"114",267708.240541012
"115",726633.471448049
"116",1277280.57719626
"117",682230.789558104
"118",533308.991205156
"119",855360.948061516
"120",869897.175527874
"121",690816.867893738
"122",482762.694331111
"123",309357.827903436
"124",581376.259986499
"125",396202.706026753
"126",202348.691456822
"127",282989.792890439
"128",642779.166551386
"129",818521.059192635
"130",646316.972187218
"131",295689.758534998
"132",91637.2666709062
"133",517067.443983575
"134",140691.624803006
"135",526878.814518704
"136",633269.501771167
"137",34680.8632688466
"138",733402.218400624
"139",800542.969464631
"140",642395.249727007
"141",434543.470458265
"142",474190.641475441
"143",801950.11384739
"144",569554.003757276
"145",496376.002036007
"146",810010.037910823
"147",473632.959433747
"148",534447.715879308
"149",805945.169213887
"150",518937.366693822
"151",318306.027395823
"152",316469.143220414
"153",590374.138580965
"154",247837.816931658
"155",17588.7385916745
"156",1243889.50017366
"157",697652.344017961
"158",298742.358168287
"159",557221.046209364
"160",811551.218053735
"161",445888.395900648
"162",400735.181116443
"163",685370.150740798
"164",162532.458128171
"165",287733.931482079
"166",1468357.56687064
"167",540122.260947924
"168",518206.96145394
"169",292039.106866018
"170",584534.189143709
"171",408778.064530196
"172",637591.062852173
"173",328284.653989719
"174",1010260.08274167
"175",622501.951591727
"176",340124.762697272
"177",-62480.6727235261
"178",818467.02219207
"179",439235.644459275
"180",497974.588340532
"181",373425.941669608
"182",615712.714652126
"183",274473.596338277
"184",529602.719751521
"185",566283.166361946
"186",127209.946734211
"187",593633.864005847
"188",259844.341193166
"189",218736.37687143
"190",773931.216740133
"191",421827.84401725
"192",407948.618525216
"193",603239.236264623
"194",657557.936379738
"195",771662.800250174
"196",697932.762835557
"197",542858.786425712
"198",265753.798979303
"199",891072.91491486
"200",602442.350354573
"201",609263.505932775
"202",1148932.12542744
"203",558515.561383493
"204",285531.446561747
"205",370849.606661113
"206",1419167.04518345
"207",434934.715338229
"208",697220.836507999
"209",316166.482042329
"210",1180465.61561552
"211",908286.489538657
"212",647446.762334041
"213",461723.168688924
"214",72246.7712028943
"215",670691.243331551
"216",508627.33468072
"217",723982.710194862
"218",118044.787698787
"219",1843270.85709429
"220",371912.20898282
"221",407365.794342011
"222",521783.429270575
"223",638536.2501942
"224",1111910.7221266
"225",324601.434713366
"226",249405.249975016
"227",1224572.61204432
"228",557021.71426231
"229",835043.013622317
"230",506137.948844779
"231",915899.89311509
"232",454394.031035111
"233",788447.773949665
"234",283961.093745448
"235",434922.221038973
"236",644699.969547193
"237",416429.171008086
"238",335843.3707355
"239",-22438.8768633243
"240",993190.175609398
"241",187334.805982426
"242",364919.098315032
"243",570471.008704983
"244",708102.757718387
"245",273864.801007878
"246",368648.010321982
"247",645126.240584527
"248",800086.703029269
"249",547653.196037747
"250",503172.482354609
"251",664752.372317542
"252",264578.364672755
"253",459779.610594825
"254",850020.896567583
"255",1452099.17629116
"256",247050.064924934
"257",252015.269153502
"258",997171.830670419
"259",335601.398809019
"260",486679.008848195
"261",496345.039207892
"262",346240.542345899
"263",1369509.43557508
"264",375892.858704878
"265",583734.975482941
"266",328057.451826952
"267",1215711.67247001
"268",541137.836598597
"269",470991.297777686
"270",400087.388315775
"271",1030872.80091916
"272",321867.520158954
"273",693158.775423617
"274",612437.727704666
"275",867069.248648263
"276",380718.642003614
"277",408066.629454719
"278",612832.757506215
"279",1024565.88025126
"280",244570.640357826
"281",387764.742637495
"282",747788.469091969
"283",911083.15886046
"284",584728.712601111
"285",1132083.06222402
"286",328042.92086564
"287",610266.149803346
"288",373095.96651953
"289",17796.0447021589
"290",637345.803557239
"291",650195.847470476
"292",749192.497075795
"293",796024.09124071
"294",729053.174334512
"295",959367.183307577
"296",1056535.62706661
"297",717482.679105415
"298",683613.939248562
"299",991930.989485214
"300",821360.410130289
"301",694035.205302835
"302",371344.001399789
"303",64484.4461376131
"304",472902.050995472
"305",650283.385176873
"306",559414.915907108
"307",384324.822110368
"308",503672.979490348
"309",195345.323564184
"310",796652.173356324
"311",-13346.9036761149
"312",839783.591079231
"313",548689.701345163
"314",1349593.83116004
"315",476839.768377271
"316",296746.220332777
"317",650878.821523935
"318",753744.977086725
"319",1260854.47751144
"320",744599.600416294
"321",2060849.14691779
"322",430134.881915864
"323",82606.5205587528
"324",390146.982084816
"325",1016465.20442196
"326",748706.268095952
"327",1101813.87896616
"328",642348.916287297
"329",532995.511292478
"330",767773.665279802
"331",550433.258950768
"332",489613.609552664
