property,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
5467900070,20140502,3.42e+5,3,2,1930,11947,1,0,0,4,8,1930,0,1966,0,98042,47.3672,-122.151,2200,12825
7197300105,20140502,5.50e+5,4,2.5,1940,10500,1,0,0,4,7,1140,800,1976,0,98052,47.683,-122.114,2200,10500
7525100520,20140502,3.35e+5,2,2,1350,2560,1,0,0,3,8,1350,0,1976,0,98052,47.6344,-122.107,1790,2560
2591720070,20140502,4.82e+5,4,2.5,2710,35868,2,0,0,3,9,2710,0,1989,0,98038,47.375,-122.022,2780,36224
7739100015,20140502,4.63e+5,3,1.75,1710,7320,1,0,0,3,7,1710,0,1948,0,98155,47.7512,-122.281,2260,8839
4217401055,20140502,1.40e+6,4,2.5,2920,4000,1.5,0,0,5,8,1910,1010,1909,0,98105,47.6578,-122.28,2470,4000
3390600010,20140502,3.65e+5,3,1,1090,6435,1,0,0,4,7,1090,0,1955,0,98106,47.5334,-122.365,1340,6435
4219400290,20140502,1.20e+6,5,2.75,2910,9480,1.5,0,0,3,8,2910,0,1939,0,98105,47.6552,-122.278,2940,6600
2618300080,20140502,2.43e+5,3,1.5,1200,9720,1,0,0,4,7,1200,0,1965,0,98042,47.4225,-122.153,1380,10284
3328500250,20140502,2.85e+5,4,2.5,2200,9397,2,0,0,3,8,2200,0,1987,0,98001,47.3406,-122.269,2310,9176
2011000010,20140502,2.58e+5,3,1.75,1370,5858,1,0,0,3,7,1370,0,1987,0,98198,47.3815,-122.313,1400,7500
776600130,20140502,2.75e+5,3,1.5,1180,10277,1,0,0,3,6,1180,0,1983,0,98045,47.488,-121.787,1680,11104
5652600185,20140502,7.50e+5,3,1.75,2240,10578,2,0,0,5,8,1550,690,1923,0,98115,47.6954,-122.292,1570,10578
1962200037,20140502,6.26e+5,3,2.25,1750,1572,2.5,0,0,3,9,1470,280,2005,0,98102,47.6498,-122.321,2410,3050
1088800850,20140502,6.13e+5,4,2.5,2730,12261,2,0,0,3,9,2730,0,1991,0,98011,47.7419,-122.205,2730,10872
472000620,20140502,7.90e+5,3,2.5,2600,4750,1,0,0,4,9,1700,900,1951,0,98117,47.6833,-122.4,2380,4750
3876200060,20140502,3.83e+5,4,1.75,1560,8700,1,0,0,4,7,1560,0,1967,0,98034,47.7274,-122.181,2080,8000
7305300695,20140502,6.25e+5,4,2.5,2820,8408,2,0,0,3,9,2820,0,2014,0,98155,47.7538,-122.325,1300,8408
