"","price"
"1",279400
"2",1860000
"3",685200
"4",441600
"5",411400
"6",586800
"7",527200
"8",484400
"9",330200
"10",400800
"11",482600
"12",277000
"13",672800
"14",980000
"15",626600
"16",616600
"17",586800
"18",592000
"19",462200
"20",661800
"21",309000
"22",344200
"23",238200
"24",572800
"25",542400
"26",873200
"27",319400
"28",489200
"29",721600
"30",576400
"31",561800
"32",698200
"33",533600
"34",438400
"35",380200
"36",284200
"37",516600
"38",697400
"39",256600
"40",555000
"41",797000
"42",754600
"43",1269000
"44",873000
"45",953800
"46",642400
"47",457600
"48",1397000
"49",645600
"50",351400
"51",558600
"52",508400
"53",819200
"54",925200
"55",561000
"56",328000
"57",444600
"58",716200
"59",455800
"60",729800
"61",601600
"62",379400
"63",374800
"64",605200
"65",309800
"66",523200
"67",299000
"68",396000
"69",554200
"70",811000
"71",430000
"72",491400
"73",993000
"74",487600
"75",382600
"76",227000
"77",639200
"78",526400
"79",363800
"80",649200
"81",242400
"82",623000
"83",362800
"84",368200
"85",365800
"86",785200
"87",316600
"88",506600
"89",299800
"90",424000
"91",447600
"92",546800
"93",433000
"94",615400
"95",275600
"96",446600
"97",807600
"98",209200
"99",370600
"100",521000
"101",514000
"102",711400
"103",835000
"104",1902000
"105",765000
"106",656800
"107",818200
"108",247800
"109",198400
"110",576400
"111",963800
"112",455000
"113",642600
"114",221800
"115",546000
"116",2038000
"117",291200
"118",388400
"119",1075000
"120",989000
"121",740800
"122",465000
"123",309200
"124",559400
"125",270200
"126",238000
"127",324200
"128",608800
"129",1008400
"130",515400
"131",288200
"132",249600
"133",277000
"134",351400
"135",528800
"136",670400
"137",192600
"138",545200
"139",516400
"140",419600
"141",419600
"142",412200
"143",776000
"144",860000
"145",502800
"146",827000
"147",292000
"148",551800
"149",484200
"150",481000
"151",440000
"152",245800
"153",513400
"154",265600
"155",174833.333
"156",1011600
"157",532400
"158",246400
"159",540400
"160",684000
"161",484000
"162",371600
"163",737600
"164",237400
"165",376400
"166",2182000
"167",626800
"168",494800
"169",270000
"170",578000
"171",445800
"172",510200
"173",396400
"174",1199000
"175",705000
"176",261000
"177",189400
"178",779000
"179",279800
"180",552200
"181",429400
"182",572200
"183",275200
"184",596000
"185",373200
"186",374000
"187",289800
"188",316000
"189",311200
"190",726400
"191",369000
"192",455800
"193",550200
"194",695400
"195",813200
"196",633600
"197",474600
"198",251200
"199",776800
"200",506800
"201",653400
"202",1694000
"203",463000
"204",610200
"205",412000
"206",1030000
"207",409000
"208",513600
"209",423800
"210",977400
"211",926200
"212",515600
"213",307600
"214",282400
"215",455400
"216",277200
"217",623000
"218",205400
"219",2300000
"220",372000
"221",473200
"222",319000
"223",495800
"224",1154600
"225",249000
"226",206800
"227",1711000
"228",532600
"229",755600
"230",498400
"231",1006000
"232",269400
"233",541800
"234",277600
"235",497600
"236",540800
"237",278400
"238",328000
"239",220600
"240",968000
"241",329400
"242",492400
"243",525600
"244",290000
"245",408000
"246",307200
"247",546000
"248",619800
"249",444600
"250",361800
"251",809600
"252",267000
"253",374400
"254",490800
"255",2460000
"256",299600
"257",296800
"258",1054000
"259",288800
"260",483400
"261",371400
"262",324600
"263",1236800
"264",445200
"265",508600
"266",371000
"267",1146800
"268",613200
"269",390400
"270",473600
"271",1195000
"272",277800
"273",594200
"274",562400
"275",778400
"276",358600
"277",574000
"278",573800
"279",1141600
"280",327600
"281",323000
"282",674200
"283",809400
"284",585800
"285",846000
"286",321800
"287",489600
"288",446400
"289",163200
"290",648600
"291",683600
"292",784600
"293",817200
"294",583800
"295",828800
"296",1326600
"297",561600
"298",858800
"299",583800
"300",748000
"301",492800
"302",277400
"303",257000
"304",379400
"305",548200
"306",505000
"307",351000
"308",501000
"309",223800
"310",878000
"311",210800
"312",655200
