"price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","condition","grade","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15","rec_built","rec_renovated"
342000,3,2,1930,11947,1,0,4,8,1966,0,"98042",47.3672,-122.151,2200,12825,0,0
550000,4,2.5,1940,10500,1,0,4,7,1976,0,"98052",47.683,-122.114,2200,10500,0,0
335000,2,2,1350,2560,1,0,3,8,1976,0,"98052",47.6344,-122.107,1790,2560,0,0
482000,4,2.5,2710,35868,2,0,3,9,1989,0,"98038",47.375,-122.022,2780,36224,0,0
463000,3,1.75,1710,7320,1,0,3,7,1948,0,"98155",47.7512,-122.281,2260,8839,0,0
1400000,4,2.5,2920,4000,1.5,0,5,8,1909,0,"98105",47.6578,-122.28,2470,4000,0,0
365000,3,1,1090,6435,1,0,4,7,1955,0,"98106",47.5334,-122.365,1340,6435,0,0
1200000,5,2.75,2910,9480,1.5,0,3,8,1939,0,"98105",47.6552,-122.278,2940,6600,0,0
243000,3,1.5,1200,9720,1,0,4,7,1965,0,"98042",47.4225,-122.153,1380,10284,0,0
285000,4,2.5,2200,9397,2,0,3,8,1987,0,"98001",47.3406,-122.269,2310,9176,0,0
258000,3,1.75,1370,5858,1,0,3,7,1987,0,"98198",47.3815,-122.313,1400,7500,0,0
275000,3,1.5,1180,10277,1,0,3,6,1983,0,"98045",47.488,-121.787,1680,11104,0,0
750000,3,1.75,2240,10578,2,0,5,8,1923,0,"98115",47.6954,-122.292,1570,10578,0,0
626000,3,2.25,1750,1572,2.5,0,3,9,2005,0,"98102",47.6498,-122.321,2410,3050,1,0
613000,4,2.5,2730,12261,2,0,3,9,1991,0,"98011",47.7419,-122.205,2730,10872,0,0
790000,3,2.5,2600,4750,1,0,4,9,1951,0,"98117",47.6833,-122.4,2380,4750,0,0
383000,4,1.75,1560,8700,1,0,4,7,1967,0,"98034",47.7274,-122.181,2080,8000,0,0
625000,4,2.5,2820,8408,2,0,3,9,2014,0,"98155",47.7538,-122.325,1300,8408,1,0
4e+05,4,2.5,3630,42884,1.5,0,3,9,1979,0,"98092",47.2617,-122.19,2830,80148,0,0
440000,2,1,800,4850,1,0,4,7,1944,0,"98107",47.6639,-122.364,1150,4365,0,0
287000,3,3,1850,19966,1,0,4,7,1992,0,"98038",47.3493,-122.034,1410,6715,0,0
403000,3,2,1960,13100,1,0,5,8,1957,0,"98166",47.4419,-122.34,1960,10518,0,0
335000,3,2.25,1580,16215,1,0,4,7,1978,0,"98024",47.5643,-121.897,1450,16215,0,0
440000,3,2.5,1770,2875,2,0,3,8,1990,0,"98116",47.5631,-122.397,1770,3833,0,0
315000,3,1,1160,9180,1,0,3,7,1968,0,"98077",47.7427,-122.072,1160,10282,0,0
408000,3,2.5,1930,10460,2,0,3,8,1996,0,"98059",47.4938,-122.161,2290,8228,0,0
446000,3,2.5,1270,1180,3,0,3,8,2001,0,"98107",47.6697,-122.392,1320,1180,1,0
838000,4,2.5,3310,42998,2,0,3,9,2001,0,"98052",47.7232,-122.131,3350,42847,1,0
550000,3,1.75,2910,35200,1.5,0,3,8,1979,0,"98075",47.5747,-122.035,2590,37500,0,0
430000,4,1.5,1920,10000,1,0,4,7,1954,0,"98006",47.5725,-122.133,1450,10836,0,0
492000,4,1.75,2190,125452,1,0,3,9,1968,0,"98092",47.2703,-122.069,3000,125017,0,0
385000,3,3.25,1320,1327,2,0,3,8,2008,0,"98199",47.6506,-122.383,1440,1263,1,0
295000,2,2.5,1630,1368,2,0,3,7,2009,0,"98106",47.5489,-122.363,1590,2306,1,0
460000,3,2.5,2680,5539,2,0,3,8,2013,0,"98045",47.4761,-121.734,2990,6037,1,0
3e+05,3,2.5,2540,5050,2,0,3,7,2006,0,"98042",47.3358,-122.055,2280,5050,1,0
