"","x"
"1",282765.75
"2",1570186
"3",595237.5
"4",398539.28125
"5",464594.5
"6",468370.1875
"7",674738.3125
"8",441370.3125
"9",574783.6875
"10",519418.375
"11",446009.21875
"12",445705.71875
"13",585147.25
"14",685857.25
"15",741135.6875
"16",504112.4375
"17",498631.75
"18",685739.125
"19",967825.25
"20",694506.0625
"21",424709.8125
"22",286346.84375
"23",342962.3125
"24",664705.9375
"25",694630.5
"26",712651.25
"27",495272.40625
"28",388153.84375
"29",980273.25
"30",401557.34375
"31",701633.125
"32",812386.4375
"33",651441.375
"34",424423.78125
"35",407711.78125
"36",351539.71875
"37",599633.625
"38",880583.9375
"39",360490.59375
"40",574592.25
"41",1012137.125
"42",451772.40625
"43",898718
"44",820664.5625
"45",834622.6875
"46",761944.3125
"47",400468.0625
"48",1129386.125
"49",677297.75
"50",580233.5625
"51",344953.75
"52",682503.0625
"53",676045.0625
"54",1190101.75
"55",528507
"56",474504.625
"57",266790.0625
"58",696650.9375
"59",509324.84375
"60",1109114.25
"61",703736.5
"62",313523.71875
"63",335206.4375
"64",486316.28125
"65",276216.40625
"66",621214.5625
"67",342277.59375
"68",399654
"69",545902.0625
"70",826956.375
"71",472995.1875
"72",426591.125
"73",1274297.125
"74",381395.625
"75",329876.78125
"76",342184.84375
"77",573474.6875
"78",394949.21875
"79",271208
"80",462428.5625
"81",344848.625
"82",710261.4375
"83",356032.375
"84",460710.96875
"85",244236.640625
"86",1002619.875
"87",451860.4375
"88",409572.96875
"89",440803.8125
"90",373381.34375
"91",295266.125
"92",697409.125
"93",507757.125
"94",479337.15625
"95",408830.5
"96",450454.65625
"97",942929.625
"98",261872.3125
"99",422061.75
"100",573913.9375
"101",384632.78125
"102",851697.8125
"103",1024504.4375
"104",1487656.875
"105",711047.3125
"106",857826.375
"107",1092838
"108",516275.65625
"109",180638.78125
"110",575279
"111",835672.1875
"112",383733.1875
"113",573419.3125
"114",372436.1875
"115",459535.40625
"116",1439955.375
"117",531824.75
"118",572995.375
"119",898835.25
"120",1085938.875
"121",761844.875
"122",477291.15625
"123",332763.96875
"124",375025.59375
"125",455765.09375
"126",268354.375
"127",397584.96875
"128",741830.5
"129",753752.5625
"130",612066.1875
"131",382364.625
